Date,Close
5/5/2017,9.73
5/8/2017,9.73
5/9/2017,9.45
5/10/2017,9.66
5/11/2017,9.73
5/12/2017,10.43
5/15/2017,11.06
5/16/2017,10.5
5/17/2017,10.5
5/18/2017,10.01
5/19/2017,10.43
5/22/2017,11.13
5/23/2017,10.78
5/24/2017,10.78
5/25/2017,10.78
5/26/2017,11.13
5/30/2017,11.34
5/31/2017,11.69
6/1/2017,11.34
6/2/2017,11.48
6/5/2017,11.62
6/6/2017,11.62
6/7/2017,11.76
6/8/2017,12.11
6/9/2017,11.62
6/12/2017,11.62
6/13/2017,11.34
6/14/2017,10.92
6/15/2017,10.71
6/16/2017,10.85
6/19/2017,11.13
6/20/2017,10.71
6/21/2017,10.93
6/22/2017,12.39
6/23/2017,13.37
6/26/2017,13.58
6/27/2017,12.88
6/28/2017,12.74
6/29/2017,12.67
6/30/2017,12.25
7/3/2017,12.25
7/5/2017,12.32
7/6/2017,11.97
7/7/2017,12.18
7/10/2017,11.9
7/11/2017,12.46
7/12/2017,13.23
7/13/2017,12.74
7/14/2017,13.37
7/17/2017,13.23
7/18/2017,13.09
7/19/2017,13.72
7/20/2017,14.14
7/21/2017,14.42
7/24/2017,14.14
7/25/2017,14.14
7/26/2017,14.35
7/27/2017,13.51
7/28/2017,13.58
7/31/2017,13.44
8/1/2017,13.51
8/2/2017,13.09
8/3/2017,12.88
8/4/2017,12.46
8/7/2017,12.46
8/8/2017,12.04
8/9/2017,12.6
8/10/2017,12.25
8/11/2017,11.9
8/14/2017,12.25
8/15/2017,12.04
8/16/2017,11.69
8/17/2017,11.62
8/18/2017,11.55
8/21/2017,11.2
8/22/2017,10.99
8/23/2017,10.64
8/24/2017,10.92
8/25/2017,11.27
8/28/2017,10.99
8/29/2017,10.78
8/30/2017,10.85
8/31/2017,10.71
9/1/2017,10.64
9/5/2017,10.57
9/6/2017,10.5
9/7/2017,10.64
9/8/2017,10.41
9/11/2017,10.22
9/12/2017,10.22
9/13/2017,10.29
9/14/2017,9.87
9/15/2017,9.87
9/18/2017,10.29
9/19/2017,10.5
9/20/2017,10.01
9/21/2017,9.94
9/22/2017,10.29
9/25/2017,9.8
9/26/2017,10.08
9/27/2017,10.01
9/28/2017,10.01
9/29/2017,10.99
10/2/2017,10.85
10/3/2017,10.36
10/4/2017,11.06
10/5/2017,10.99
10/6/2017,10.92
10/9/2017,10.64
10/10/2017,10.29
10/11/2017,9.94
10/12/2017,10.01
10/13/2017,9.94
10/16/2017,9.87
10/17/2017,10.01
10/18/2017,10.01
10/19/2017,9.8
10/20/2017,9.73
10/23/2017,9.66
10/24/2017,9.87
10/25/2017,9.59
10/26/2017,9.45
10/27/2017,10.15
10/30/2017,9.8
10/31/2017,10.01
